Hours_Studied,Exam_Score,Parental_Involvement,Motivation_Level,Previous_Scores,Attendance,Access_to_Resources,Learning_Disabilities
22,72,Medium,Low,92,99,Low,No
21,69,Medium,High,66,82,High,Yes
22,67,Medium,High,72,67,Medium,No
20,69,High,Medium,92,73,Medium,No
8,63,High,Medium,87,77,Medium,No
20,67,Medium,Medium,66,72,Medium,No
20,66,Low,High,62,71,High,No
19,64,Medium,Medium,74,66,Medium,No
22,73,High,Medium,80,89,High,No
20,63,Low,High,82,60,High,Yes
13,65,Medium,Medium,78,84,Medium,No
27,73,Low,Medium,81,97,High,No
25,70,High,Low,94,72,High,No
25,68,High,High,93,67,Medium,Yes
15,65,Medium,Medium,57,86,Medium,No
28,71,Low,High,79,89,High,No
12,64,Low,Low,72,88,Medium,No
24,68,Medium,Medium,64,73,High,Yes
33,69,Medium,Low,82,70,Medium,No
14,69,Medium,Medium,76,98,Medium,No
17,69,Medium,Medium,89,97,Medium,No
21,67,Medium,Medium,55,78,Medium,No
17,68,Low,Low,65,94,Medium,No
11,64,Medium,Medium,51,78,High,No
20,66,Medium,Low,87,77,Medium,No
14,63,High,Medium,96,66,Low,No
23,66,Medium,Medium,79,77,Medium,No
14,66,Medium,Medium,81,81,Medium,No
29,67,Medium,Low,52,61,High,No
15,65,High,Low,75,78,High,No
18,68,Low,Medium,76,91,Medium,No
25,68,Medium,High,52,87,Low,No
13,65,High,Medium,89,85,Medium,Yes
21,71,Medium,High,64,96,Medium,No
28,65,Medium,High,86,61,High,Yes
10,64,Medium,Medium,70,82,Low,Yes
21,72,High,Medium,100,91,Medium,No
22,65,Medium,Medium,61,82,Medium,Yes
25,66,Medium,High,53,73,High,No
13,61,Low,Medium,99,65,High,No
12,68,Low,Medium,62,96,High,No
23,69,High,Low,82,79,High,Yes
22,72,Medium,Medium,69,95,High,No
22,71,Medium,Medium,82,83,High,No
22,70,High,Low,80,87,High,No
16,68,Medium,Low,85,92,High,No
21,67,Low,Medium,51,86,Medium,No
22,68,Medium,Medium,92,76,Medium,No
16,68,Medium,Medium,74,81,Medium,No
31,72,Medium,Medium,76,92,Medium,Yes
23,65,Low,Low,71,75,High,No
13,66,Medium,Low,99,76,High,No
24,65,Medium,High,90,64,Medium,No
14,67,Medium,Medium,66,97,Medium,Yes
25,66,Medium,Low,89,64,High,No
27,69,Medium,Low,72,86,Medium,No
15,66,Medium,Low,94,77,Medium,No
26,69,Medium,Medium,52,76,High,No
22,67,High,Medium,68,87,Low,No
25,66,High,Medium,71,63,Medium,No
31,71,Medium,Medium,87,84,Medium,No
19,70,High,Medium,59,91,Low,No
15,71,High,Medium,64,93,Medium,No
15,66,Medium,High,86,67,Medium,No
15,67,Medium,High,54,96,Medium,No
20,66,High,Medium,60,86,Low,Yes
22,72,Medium,Low,88,95,High,No
22,68,Medium,Medium,94,79,Medium,No
25,69,Medium,Medium,86,82,Medium,No
20,71,Medium,Low,76,97,Medium,No
29,70,Medium,Low,55,96,Medium,No
18,67,Medium,High,91,78,Medium,No
36,69,Medium,Medium,56,71,Medium,No
24,65,Low,Low,69,76,High,No
15,65,High,Medium,53,76,High,No
14,64,Medium,Low,85,71,Medium,No
23,63,Low,Low,75,71,Low,No
19,69,Low,Medium,95,94,Medium,No
24,64,Medium,Medium,57,63,Low,No
23,72,High,High,91,87,High,No
20,63,Low,Medium,76,67,Medium,No
15,64,Low,Low,68,74,High,No
11,64,Medium,Medium,82,62,High,No
17,67,Medium,Medium,90,71,Medium,No
25,71,Medium,Low,72,91,Medium,No
21,70,Medium,High,62,95,Medium,No
13,61,Medium,Low,96,69,Low,No
21,67,Medium,Low,66,79,High,No
22,72,High,Medium,100,79,Medium,No
15,66,Low,Low,88,95,Low,No
21,70,Medium,Medium,84,91,High,No
20,67,High,High,51,81,Medium,Yes
13,67,High,Medium,72,87,Low,No
22,71,Low,High,75,94,Medium,No
23,66,High,Medium,69,60,Medium,No
26,68,Medium,Medium,57,76,Medium,No
26,74,Medium,Medium,68,96,Medium,No
12,64,Medium,Medium,54,90,Low,No
14,65,Medium,Medium,65,82,Medium,No
23,66,Low,Medium,54,81,Medium,No
23,66,Medium,Low,88,74,High,Yes
23,68,Medium,Medium,84,81,Low,No
23,67,Medium,Low,69,77,High,No
27,74,Medium,Medium,89,89,High,No
26,74,Medium,High,79,94,High,No
24,62,Medium,Low,82,66,Low,Yes
18,66,High,Medium,77,78,Medium,No
25,69,Medium,High,89,76,Medium,No
15,68,Medium,Medium,52,87,High,No
17,66,High,Low,55,86,Low,No
20,68,Low,Low,64,95,Medium,No
34,69,Medium,Low,80,77,Low,No
9,67,Medium,High,82,96,Medium,No
24,75,High,Low,86,100,High,No
10,60,Medium,High,64,64,High,Yes
17,66,High,Medium,83,69,Medium,Yes
27,73,Low,Low,56,98,High,No
20,68,Medium,Low,50,98,Low,No
14,62,Medium,Medium,85,64,Medium,No
16,62,Medium,Low,86,61,Medium,No
24,65,High,High,81,66,Low,No
16,69,High,High,63,100,Low,No
21,64,Medium,Low,96,67,Medium,No
20,67,Medium,Medium,94,80,High,Yes
16,70,High,Medium,76,94,High,No
33,70,Medium,High,99,61,Medium,No
24,69,High,Low,65,84,Low,No
8,61,High,Medium,75,71,Low,No
21,69,Medium,Low,96,94,Medium,Yes
16,63,High,Medium,73,71,Medium,Yes
25,67,Medium,Low,74,87,Low,Yes
15,65,Low,Medium,54,87,Medium,No
19,66,Medium,High,61,69,Medium,No
23,63,Low,Medium,58,61,Medium,No
25,68,Medium,Medium,78,76,High,No
13,65,High,Medium,66,72,High,No
18,67,Low,Medium,54,92,Medium,No
17,68,Low,Medium,75,92,Low,No
16,64,Medium,Medium,83,78,High,Yes
31,71,Medium,High,87,84,Medium,No
22,69,Medium,Low,92,84,Medium,No
12,67,Medium,Low,74,93,Medium,No
26,65,Low,Low,70,77,Medium,Yes
33,68,Low,Medium,84,71,Medium,No
26,67,High,Low,51,71,Medium,No
11,67,Medium,High,82,81,Medium,No
17,66,Medium,Medium,70,78,High,No
28,70,High,High,73,78,Medium,No
16,65,High,Medium,65,64,Low,No
23,69,Low,Low,56,89,Low,No
25,65,Medium,Low,70,69,Medium,No
14,63,High,Medium,65,68,Medium,Yes
20,67,Medium,Low,98,77,Medium,No
1,61,High,Medium,97,69,Medium,No
14,65,Medium,Medium,82,83,Low,No
18,66,Low,Medium,95,75,High,No
13,66,Medium,High,88,78,High,No
30,69,Medium,Medium,67,81,Low,No
11,63,Medium,Medium,80,68,Medium,No
17,65,Low,Medium,61,66,High,No
21,67,Low,Low,84,95,Low,Yes
29,69,High,Medium,52,77,High,Yes
11,65,Low,Medium,92,76,Medium,No
27,65,Medium,Medium,79,61,Medium,No
20,65,High,Medium,53,80,Low,No
14,67,Medium,Low,94,82,High,No
23,66,Low,Medium,94,82,Medium,Yes
21,72,Medium,Medium,93,88,High,No
16,66,Medium,High,89,67,High,No
20,65,Medium,Low,84,70,Medium,No
18,69,High,Medium,70,92,Medium,No
21,68,Medium,Medium,57,98,Low,No
24,64,Medium,Low,64,65,Low,No
30,69,Low,Medium,67,80,High,No
13,59,Medium,Low,68,69,Low,Yes
33,68,High,Medium,78,62,Medium,No
8,60,Medium,Medium,60,73,Medium,No
19,62,Medium,Medium,59,66,High,No
24,67,Low,Low,86,88,Medium,No
22,68,Low,High,50,81,High,No
16,64,Medium,High,57,66,High,No
19,65,Medium,High,72,60,High,No
17,65,Low,Medium,57,92,Low,Yes
16,63,High,Medium,98,67,Medium,No
25,70,Medium,Low,84,84,Low,No
22,66,Low,Low,72,73,Medium,No
16,68,Medium,Low,56,83,High,No
25,66,Low,Medium,69,73,Low,No
22,63,Low,Medium,83,63,Low,No
25,66,High,Medium,98,69,Medium,Yes
24,65,Medium,Medium,74,68,Medium,No
15,66,Medium,High,85,77,Medium,No
17,67,High,High,60,86,Low,Yes
24,66,Medium,Medium,81,71,Medium,No
24,63,Low,High,62,60,Medium,No
20,66,Medium,Low,60,81,Medium,Yes
21,67,Medium,Low,75,84,Medium,No
28,71,Medium,Medium,61,99,Medium,No
16,67,Medium,Medium,86,84,High,No
23,69,Medium,Medium,97,79,High,No
19,67,Medium,Medium,70,83,Medium,Yes
19,72,High,High,66,97,Medium,No
27,70,High,High,59,93,Low,No
25,67,Medium,Low,70,73,High,No
25,64,Low,Medium,78,69,High,No
28,67,Medium,High,69,71,Medium,No
20,69,Low,Medium,81,80,High,No
24,68,Low,Medium,83,90,Low,No
18,63,Medium,Low,55,80,Medium,No
22,68,Medium,Medium,85,63,High,No
19,70,High,Medium,95,89,Medium,No
21,66,Medium,Low,51,92,Low,No
24,68,High,High,78,72,High,No
15,67,High,High,80,87,Low,No
33,69,Low,Medium,85,77,High,No
14,66,Medium,High,69,96,Low,Yes
13,68,Medium,Low,91,94,Medium,No
27,69,Medium,Medium,77,81,Medium,Yes
25,70,Medium,Low,70,88,Medium,No
24,74,Medium,High,86,95,High,No
24,70,Medium,High,96,80,High,No
20,66,Medium,Low,91,73,Medium,No
15,69,High,Medium,97,90,Medium,No
20,64,Medium,Low,63,69,High,No
16,62,Low,Medium,56,76,High,No
26,70,Low,Medium,77,95,High,No
19,68,High,Medium,52,89,Medium,No
15,65,Medium,Low,84,76,Medium,No
18,65,High,Low,62,69,High,No
22,71,High,Low,73,74,High,No
17,66,High,Low,83,71,Medium,No
15,61,Medium,Medium,74,67,Medium,No
21,67,Low,Low,62,90,Medium,Yes
21,65,Low,Medium,94,70,High,No
17,65,Medium,Medium,88,78,High,No
17,65,Medium,Medium,80,75,High,No
21,73,Medium,High,85,99,Medium,No
11,62,Medium,Medium,71,76,Medium,No
12,60,Medium,Low,69,63,High,No
16,61,Low,Low,58,64,Medium,No
19,67,Low,High,90,84,Medium,No
22,70,High,Medium,69,84,Medium,No
29,69,Low,Medium,85,77,High,No
25,66,Medium,High,65,77,Low,No
19,64,Medium,Low,90,62,Medium,No
20,68,High,Medium,55,81,Medium,No
14,67,High,Medium,81,80,Medium,No
20,64,Medium,High,90,66,Medium,No
18,65,Medium,High,83,64,Medium,No
22,66,Low,Medium,85,65,High,Yes
15,63,Medium,High,76,64,Medium,Yes
23,68,High,Low,78,84,Medium,No
29,66,Medium,Medium,53,68,High,No
19,63,Medium,Low,63,70,Medium,No
22,63,Low,Low,86,67,Medium,No
24,74,High,Medium,97,98,Medium,No
18,70,Medium,Low,77,94,High,No
21,68,High,Medium,86,69,High,No
20,66,Medium,Medium,84,73,Medium,No
21,63,Medium,Low,100,68,Low,No
15,67,Low,Medium,90,80,High,No
20,62,Medium,Medium,81,61,Medium,No
23,71,High,Medium,56,87,High,No
29,72,High,Medium,68,81,Medium,No
26,72,Medium,Medium,63,96,Medium,No
33,68,Medium,High,93,67,Medium,No
15,66,Medium,Low,72,92,Low,No
25,70,Medium,Medium,77,92,Medium,No
21,66,Medium,High,98,65,Low,No
33,72,Medium,Low,92,76,Medium,No
15,64,High,Low,89,67,Medium,No
15,63,High,Medium,57,70,Medium,No
16,61,Medium,Medium,51,71,Medium,No
7,62,High,Medium,56,82,High,No
17,68,Medium,High,87,76,High,No
15,68,Low,Low,71,98,Medium,No
21,63,Low,High,56,65,Medium,No
22,70,Medium,Low,87,99,Low,No
31,68,High,Medium,60,69,Low,No
26,72,High,Medium,79,91,Medium,No
17,67,Medium,Medium,87,74,Medium,No
15,61,Low,Medium,80,66,High,No
23,69,Low,Medium,100,94,Medium,No
12,61,Medium,High,72,72,Low,No
31,75,High,Medium,66,86,High,No
27,68,High,Medium,60,83,Low,No
17,65,Medium,Low,75,79,Low,No
10,67,High,High,93,80,Medium,No
28,75,Medium,High,97,89,High,No
19,64,Low,Medium,99,64,Medium,No
27,70,Medium,Medium,77,87,Medium,No
10,67,High,Medium,80,96,High,No
16,63,Medium,Low,79,62,Medium,No
20,65,High,Medium,73,66,High,No
20,67,Medium,Medium,58,89,Medium,No
24,67,Low,High,72,76,High,Yes
14,63,High,Low,59,65,Medium,No
19,66,Medium,Medium,94,80,Medium,No
21,65,High,Low,88,65,High,No
23,67,Medium,Medium,81,79,Medium,No
24,69,Medium,Low,52,91,Medium,No
13,66,High,Medium,81,70,High,No
11,64,Medium,Medium,81,79,Medium,No
28,73,High,Medium,72,100,Low,No
22,66,Low,Low,83,87,Medium,No
16,68,Medium,Low,93,94,Medium,No
29,70,High,Low,88,77,Low,No
21,69,High,Medium,74,91,Medium,No
27,67,Medium,Low,63,62,High,No
20,62,Medium,Low,74,65,Low,No
32,68,Medium,High,97,68,Low,No
31,72,Medium,Medium,91,76,High,No
19,69,Low,Medium,51,94,Medium,No
26,66,Low,Low,89,74,Low,No
24,70,High,Medium,59,86,High,No
28,71,High,Medium,79,88,Medium,No
14,65,Medium,Medium,90,83,Medium,No
24,70,High,Medium,78,74,Medium,No
26,65,Low,High,70,83,Low,Yes
9,62,Medium,Low,66,74,High,No
13,62,High,Medium,65,63,Medium,No
8,70,High,Medium,92,100,Medium,No
18,66,Medium,Medium,91,65,High,No
24,67,High,Low,91,63,Low,No
29,72,Medium,Medium,64,95,Low,No
20,66,High,Low,90,72,Low,No
30,68,Medium,Medium,52,86,Low,Yes
12,62,High,Medium,60,73,Medium,No
10,64,Low,Medium,76,76,Medium,Yes
20,65,Medium,Medium,70,70,Medium,No
22,66,Medium,Low,56,74,Low,No
20,64,Medium,Medium,52,76,Low,No
8,67,Medium,Low,81,89,High,No
19,69,High,Low,66,80,Medium,No
12,68,High,Medium,51,98,Medium,No
24,64,Medium,High,72,62,Medium,No
22,68,High,Medium,65,80,Medium,No
14,64,Low,Medium,79,83,Low,No
17,71,Medium,High,96,97,High,No
14,61,High,Low,65,62,High,No
20,68,Low,Medium,100,83,Medium,No
26,73,High,Low,54,94,Medium,No
14,64,High,Medium,54,70,Medium,No
23,72,Medium,Medium,86,95,Medium,Yes
17,65,Medium,High,87,61,Medium,No
15,68,Medium,Medium,71,89,Medium,No
19,71,High,Medium,64,97,Low,No
14,65,Medium,Medium,90,86,Low,Yes
17,66,Medium,Low,98,78,Medium,No
13,63,Low,Medium,99,62,High,No
32,74,Medium,Medium,82,97,High,No
20,66,High,Low,87,79,Low,Yes
16,63,Medium,High,91,61,Low,No
21,72,High,High,90,88,Medium,No
19,69,Medium,Low,100,79,High,No
19,67,Medium,Medium,91,65,High,No
24,66,Low,Low,83,69,High,No
25,64,High,Medium,69,63,Medium,No
17,67,Low,Medium,80,83,Medium,No
17,69,Medium,High,94,85,Low,No
18,65,Medium,Medium,65,80,Low,No
6,64,Medium,High,52,93,Medium,No
11,65,Medium,High,66,94,Low,No
28,72,Medium,Medium,98,85,High,Yes
30,66,Low,Medium,90,61,High,No
19,66,Medium,Medium,59,88,Low,No
23,67,High,Medium,51,77,High,No
22,69,Medium,High,83,83,Medium,Yes
38,73,Low,Low,79,86,High,No
27,69,Medium,Medium,54,74,High,No
19,68,Medium,Medium,98,97,Low,Yes
14,61,Low,Medium,81,65,Medium,No
10,63,Medium,Medium,83,87,Low,No
21,63,Medium,Low,93,60,High,No
15,68,Low,Medium,67,97,Medium,No
11,63,Medium,Medium,78,65,High,No
16,66,High,Medium,79,64,Medium,Yes
14,65,High,Medium,98,73,Medium,No
30,68,High,High,57,75,High,Yes
25,66,Medium,High,88,69,Medium,No
20,66,Low,Low,79,83,Low,No
29,70,High,Medium,92,78,Medium,No
20,61,Low,Medium,92,61,Low,No
15,61,Medium,Medium,51,73,Low,No
29,71,Medium,High,63,92,Medium,No
23,67,Low,Medium,59,88,Medium,No
14,70,High,Medium,73,89,High,No
19,69,High,Medium,95,88,Medium,No
15,65,High,Medium,50,72,High,No
12,61,High,High,74,64,Low,No
26,68,Medium,Low,94,71,Low,No
31,74,High,Medium,96,93,Low,No
12,67,Medium,Low,83,99,Medium,No
23,70,Medium,Low,91,80,Medium,No
16,59,Low,Low,66,60,Medium,Yes
17,64,High,Low,64,66,High,No
16,66,High,Medium,52,73,Medium,No
15,63,Low,Medium,75,83,Low,No
20,61,Low,Low,73,63,Low,No
15,68,Low,Low,69,98,High,No
22,65,Medium,Low,56,75,Medium,No
20,69,Medium,Medium,62,97,High,No
19,68,High,Medium,60,91,Low,No
15,69,Medium,Low,97,90,Low,No
17,67,Medium,High,98,84,Low,No
25,70,High,High,50,85,High,No
23,68,Medium,Low,59,86,Medium,No
14,67,Medium,Low,94,85,Medium,No
21,67,High,Medium,52,82,Medium,No
25,75,High,High,97,99,Medium,No
10,63,Low,Low,69,89,Low,No
23,70,Low,High,77,91,Medium,No
16,70,Medium,Low,88,95,Low,No
23,64,Medium,Medium,62,69,High,Yes
15,59,Medium,Low,55,63,Low,No
9,63,Medium,High,90,79,Low,No
10,67,High,Medium,99,81,Medium,No
20,68,Low,Medium,83,93,High,Yes
22,68,Medium,Low,91,78,Medium,No
24,66,Medium,Medium,61,81,Low,No
10,61,Medium,High,68,62,Low,No
20,70,High,High,61,85,Medium,No
13,65,Low,High,53,93,Low,No
16,64,Low,High,87,66,Medium,No
20,69,Medium,High,57,84,High,No
15,64,Medium,Low,55,84,High,No
18,61,Low,Low,68,67,Low,No
26,64,Low,Low,53,65,Medium,No
17,68,Medium,Medium,59,99,High,No
25,67,Medium,High,53,76,High,Yes
13,62,High,Medium,94,69,Low,Yes
23,66,Medium,Medium,89,67,Medium,No
29,72,Medium,High,93,87,High,No
5,68,Medium,High,93,84,Medium,No
15,71,Medium,Medium,97,86,High,No
23,65,Medium,High,59,64,Medium,No
19,68,Medium,Low,95,96,Low,No
22,65,Medium,Medium,76,76,Low,No
16,64,High,Medium,58,73,Low,No
21,65,Medium,Medium,83,78,Low,Yes
19,65,High,Low,66,76,High,Yes
27,73,High,High,52,95,Medium,No
22,72,Medium,Medium,54,97,High,No
22,64,Low,Medium,71,72,Medium,No
18,69,Medium,Low,91,95,Medium,Yes
17,69,Medium,High,66,91,Medium,No
17,70,Medium,Medium,88,97,High,No
17,68,High,Low,70,83,Medium,No
32,75,Medium,High,93,93,Medium,No
25,67,Low,Medium,98,60,High,No
18,69,Medium,Medium,66,83,High,No
27,71,High,High,99,74,Medium,No
18,66,Medium,Medium,88,73,Low,No
8,65,Medium,High,50,86,High,No
14,70,High,Medium,74,94,Medium,No
9,66,High,High,92,84,Low,No
18,74,High,Medium,77,94,Medium,No
20,66,High,Medium,77,71,Medium,No
30,68,Medium,Low,72,81,High,No
22,68,Medium,Medium,70,78,High,No
19,62,Medium,Medium,51,60,High,Yes
25,71,Medium,Medium,81,82,High,No
7,63,Medium,Medium,88,86,Low,No
21,69,High,Medium,90,84,High,No
25,71,Medium,High,81,89,Medium,No
11,66,High,Medium,67,83,Low,No
27,64,Medium,Low,51,63,High,No
22,65,Medium,Low,95,65,Medium,No
18,69,Medium,Medium,71,84,High,No
24,66,Medium,Medium,80,71,Low,No
34,67,Medium,Low,60,63,High,No
21,65,Medium,Medium,57,77,Low,No
21,65,Low,High,54,82,Low,No
17,67,High,High,90,73,Medium,No
15,66,Low,Low,82,89,Medium,No
25,69,Medium,Low,81,86,Medium,No
15,64,Medium,Low,96,73,High,No
20,70,Medium,High,58,90,Medium,No
17,68,High,Low,59,86,Medium,No
23,68,High,Low,59,85,Low,No
22,69,High,Low,71,82,Medium,No
26,68,Medium,High,94,60,Medium,No
17,70,Medium,Medium,94,88,Medium,Yes
18,67,High,Medium,80,75,Medium,No
14,72,High,Medium,83,98,High,No
17,69,High,Medium,95,93,Low,No
22,69,High,Medium,81,84,Medium,No
25,64,Low,Low,61,70,Medium,No
14,63,Low,Medium,85,68,Medium,No
25,70,High,Medium,88,74,High,Yes
28,70,High,Medium,82,79,Medium,No
22,66,High,Low,64,72,Medium,No
31,70,Medium,Low,70,81,Medium,No
15,66,Medium,High,74,67,High,No
13,68,Medium,Medium,57,99,Medium,No
9,61,Medium,Medium,73,64,Medium,No
29,72,Medium,Medium,58,97,Medium,No
24,69,High,Low,75,97,Low,No
20,63,Medium,Low,53,81,Low,No
22,72,Medium,Medium,97,89,High,No
13,65,Medium,Medium,62,77,Medium,No
35,74,Medium,High,73,85,High,No
21,62,Medium,Low,52,74,Low,No
21,65,High,Low,60,72,Medium,No
24,68,Low,Low,85,83,High,No
23,66,Medium,Medium,56,80,Low,Yes
21,71,High,Low,81,83,Medium,No
15,62,Medium,Low,50,71,High,Yes
23,65,Low,Low,73,75,High,No
31,68,Medium,Low,86,63,High,No
28,70,Medium,Medium,96,62,High,No
30,67,Low,Medium,75,70,Medium,No
17,63,Medium,Medium,92,63,Medium,No
14,63,High,Low,90,64,High,No
19,69,Medium,Medium,65,93,High,No
20,66,Low,High,94,62,Medium,No
27,70,Medium,Low,82,86,Medium,No
10,63,Medium,High,55,71,Medium,No
29,72,Low,Medium,97,95,Medium,Yes
19,65,High,Low,59,79,Medium,Yes
17,67,Medium,Low,74,72,High,No
14,63,Medium,Low,73,81,Medium,Yes
10,65,High,Medium,81,75,Medium,No
25,67,Medium,Medium,83,83,Medium,Yes
12,68,Medium,Medium,68,100,Medium,No
12,63,Medium,Medium,57,77,Medium,No
18,64,Medium,Medium,56,74,Medium,No
30,73,Medium,Medium,91,88,Medium,No
18,66,Medium,Low,88,75,Medium,Yes
11,66,Medium,Low,72,93,Medium,No
19,66,High,Medium,55,78,High,No
18,69,Medium,Low,72,89,High,No
4,59,Medium,Medium,65,64,High,No
20,68,Medium,Medium,89,94,Medium,No
19,67,Medium,Medium,55,89,Medium,No
24,64,Medium,Low,73,68,Medium,Yes
31,65,Low,Low,80,66,High,No
27,68,Medium,Low,99,73,Medium,No
18,70,Medium,Low,54,99,High,No
13,62,Medium,Medium,56,70,Medium,No
35,72,High,Medium,99,78,Low,No
20,62,Medium,Low,70,61,Low,No
20,68,High,Low,87,76,High,No
20,69,High,Medium,89,83,Medium,No
21,73,High,Low,66,98,Medium,No
19,69,High,Low,61,81,High,No
17,67,Medium,Medium,64,93,Medium,No
17,65,Medium,Low,88,82,Low,No
20,63,Low,High,92,62,Low,No
17,66,High,Medium,85,73,Medium,No
16,66,Medium,Medium,72,83,Medium,No
21,70,Medium,Low,63,98,High,No
18,69,Medium,Low,71,94,Medium,No
29,70,Medium,Low,96,69,High,No
27,67,Medium,Medium,66,68,Medium,No
27,73,High,Low,66,97,High,No
8,66,High,High,89,94,Low,No
18,70,High,High,71,91,High,No
18,67,High,Medium,79,76,High,No
12,60,Low,High,71,80,Low,Yes
15,65,High,Low,62,79,Medium,No
13,63,Medium,Medium,59,70,Medium,No
31,72,High,Low,57,80,High,No
26,62,Low,High,51,61,Medium,No
28,70,Medium,Medium,64,65,Medium,No
24,70,High,Medium,59,95,Low,No
13,64,Medium,Medium,63,90,Medium,No
17,64,Medium,Low,54,77,Medium,No
23,67,Medium,Medium,67,81,Low,No
13,64,Medium,High,76,75,High,No
24,72,Medium,Low,97,90,Medium,No
19,66,Medium,Medium,67,91,Low,No
18,66,Medium,Medium,52,91,Medium,No
24,71,Medium,Medium,68,89,High,No
23,66,Low,Medium,91,68,Low,No
18,64,Medium,High,67,74,Low,No
27,66,Medium,Low,65,79,Low,No
14,62,Medium,Low,96,73,Low,No
24,70,Medium,Medium,65,90,Medium,No
24,69,Medium,Medium,99,73,Medium,No
18,65,High,Medium,92,66,Medium,No
22,70,High,High,84,76,Medium,No
12,70,High,Medium,80,99,High,No
26,67,Medium,Medium,61,69,Medium,No
19,69,Medium,Low,87,84,High,No
17,62,Low,Low,67,77,Medium,Yes
26,67,Medium,Medium,74,63,High,No
